AppID;Name;Publisher;Owners;Price;Discount;Tags;Genres;Languages;CCU;ScoreRank;AvgPlaytimeForever;AvgPlaytime2Weeks
2195250;EA SPORTS FC 24;Electronic Arts;5,000,000 .. 10,000,000;69,99 USD;0%;;;;7112;0;7363;73
2203860;Populous;Electronic Arts;100,000 .. 200,000;2,49 USD;50%;;;;1;0;0;0
2204130;Sid Meier's Alpha Centauri Planetary Pack;Electronic Arts;50,000 .. 100,000;2,49 USD;50%;;;;41;0;23;0
2208920;Assassin's Creed Valhalla;Ubisoft;500,000 .. 1,000,000;14,99 USD;75%;;;;4082;0;3959;818
2213190;DEATH NOTE Killer Within;BANDAI NAMCO Entertainment;20,000 .. 50,000;7,49 USD;25%;;;;71;0;118;0
2215260;Scott Pilgrim vs. The World: The Game – Complete Edition;Ubisoft;200,000 .. 500,000;4,94 USD;67%;;;;44;0;67;0
2221490;Tom Clancy’s The Division 2;Ubisoft;500,000 .. 1,000,000;7,49 USD;75%;;;;7391;0;2383;411
2221920;Immortals Fenyx Rising;Ubisoft;200,000 .. 500,000;3,99 USD;90%;;;;780;0;463;443
2231380;Tom Clancy's Ghost Recon Breakpoint;Ubisoft;500,000 .. 1,000,000;5,99 USD;90%;;;;10715;0;1243;115
2238900;STAR OCEAN THE SECOND STORY R;Square Enix;100,000 .. 200,000;29,99 USD;40%;;;;97;0;1002;0
2239550;Watch Dogs: Legion;Ubisoft;200,000 .. 500,000;8,99 USD;85%;;;;440;0;1220;104
2288630;Taiko no Tatsujin: Rhythm Festival;BANDAI NAMCO Entertainment;0 .. 20,000;37,99 USD;24%;;;;119;0;483;1
2290180;Riders Republic;Ubisoft;500,000 .. 1,000,000;7,99 USD;80%;;;;1938;0;249;24
2316580;Tales of Kenzera: ZAU;Electronic Arts;0 .. 20,000;8,99 USD;55%;;;;17;0;171;0
2316580;Tales of Kenzera: ZAU;Electronic Arts;0 .. 20,000;8,99 USD;55%;;;;17;0;171;0
2369390;Far Cry 6;Ubisoft;500,000 .. 1,000,000;14,99 USD;75%;;;;3211;0;2028;936
2379390;Tom Clancy’s Rainbow Six Extraction;Ubisoft;200,000 .. 500,000;9,99 USD;75%;;;;104;0;657;0
2455640;Romancing SaGa 2: Revenge of the Seven;Square Enix;100,000 .. 200,000;34,99 USD;30%;;;;836;0;873;0
2488620;F1 24;Electronic Arts;200,000 .. 500,000;10,49 USD;85%;;;;6203;0;2764;20
2490990;Visions of Mana;Square Enix;100,000 .. 200,000;38,99 USD;35%;;;;110;0;300;0
2515020;FINAL FANTASY XVI;Square Enix;200,000 .. 500,000;32,49 USD;35%;;;;2126;0;3172;1
2552430;KINGDOM HEARTS -HD 1.5+2.5 ReMIX-;Square Enix;500,000 .. 1,000,000;29,99 USD;40%;;;;1408;0;3174;477
2552450;KINGDOM HEARTS III + Re Mind (DLC);Square Enix;20,000 .. 50,000;35,99 USD;40%;;;;271;0;2742;0
2556990;Beyond Good & Evil - 20th Anniversary Edition;Ubisoft;100,000 .. 200,000;13,99 USD;30%;;;;44;0;0;0
2582560;EA SPORTS Madden NFL 25;Electronic Arts;50,000 .. 100,000;13,99 USD;80%;;;;3474;0;1094;0
2616430;Populous: The Beginning;Electronic Arts;50,000 .. 100,000;2,49 USD;50%;;;;11;0;210;0
2616450;Populous II: Trials of the Olympian Gods;Electronic Arts;0 .. 20,000;2,49 USD;50%;;;;1;0;0;0
